spec_path,title,first_flaky_seen_at,first_flaky_runs_ago,last_flaky_seen_at,last_flaky_runs_ago,total_flaky_runs,total_runs,severity
cypress/e2e/decide/authoring/webhooksAndDecisionHistory.cy.js,Outgoing webhooks and decision history. Checking history records /// Check remaining webhook logs,2024-04-12T08:13:37Z,13133,2024-04-24T10:21:42Z,5343,7,583,LOW
cypress/e2e/decide/folders.cy.js,"Folder Management /// Add, rename and delete folders",2024-07-15T21:26:40Z,40824,2024-08-27T08:46:56Z,6898,4,343,LOW
cypress/e2e/decide/manualReview.cy.js,Manual Review /// Create and configure node,2023-12-14T10:25:03Z,3757,2023-12-19T12:46:28Z,2820,3,262,LOW
cypress/e2e/decide/manualReview.cy.js,Manual Review /// Outbound webhook part 2: Create a case and check it in the webhook logs,2024-05-06T16:12:36Z,75703,2024-08-19T11:39:50Z,13850,8,710,LOW
cypress/e2e/decide/flowManagement.cy.js,Flow Management /// Manage flow versions /// Duplicate a flow version,2023-09-05T12:28:06Z,390,2023-09-05T12:28:06Z,390,1,98,LOW
cypress/e2e/decide/flowManagement.cy.js,Flow Management /// Manage flow versions /// Publish a flow version,2023-08-31T13:45:51Z,520,2023-08-31T13:45:51Z,520,1,98,LOW
cypress/e2e/decide/authoring/codeNode.cy.js,CodeNode /// code_that_throws_custom_response.py - 418 - Teapot here,2024-02-09T15:00:02Z,122535,2024-03-28T10:02:24Z,99022,13,1308,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// Compile errors,2023-10-10T11:19:05Z,8696,2024-01-10T08:37:48Z,1845,6,644,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// Decision Table Node,2023-09-05T17:12:34Z,9919,2023-11-08T16:34:21Z,7528,8,867,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// MLNode,2023-08-31T09:33:27Z,10089,2024-01-10T08:37:48Z,1845,8,867,LOW
cypress/e2e/decide/authoring.cy.js,Multi selection tests /// Should be possible to create a group and run a flow,2023-09-29T09:10:48Z,129,2023-09-29T12:18:07Z,118,2,223,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// Cut and paste a split node v2,2023-09-28T10:53:24Z,153,2023-10-02T09:57:06Z,85,2,223,LOW
cypress/e2e/decide/codeInput.cy.js,Test autocompletion /// Autocompletion should work on decision table node,2024-04-16T11:36:22Z,89347,2024-05-27T16:08:57Z,67112,7,819,LOW
cypress/e2e/decide/manualReview.cy.js,Manual Review /// Outbound webhook part 2: Find the calls that we made,2024-02-12T14:57:24Z,43829,2024-03-15T11:28:35Z,27799,5,653,LOW
cypress/e2e/decide/authoring/codeNode.cy.js,CodeNode /// code_that_throws.py - 424,2024-02-07T20:16:11Z,123804,2024-04-24T15:35:51Z,82483,10,1308,LOW
cypress/e2e/decide/authoring/testRunResults.cy.js,test run results /// Scroll through long intermediate result table,2024-02-21T14:57:23Z,117384,2024-08-26T10:19:32Z,7960,10,1315,LOW
cypress/e2e/decide/manifestConnect.cy.js,Manifest provider connection creation /// verify manifest providers are available,2024-08-27T15:11:29Z,1202,2024-08-27T15:11:29Z,1202,1,133,LOW
cypress/e2e/decide/flow_versions/analytics.cy.js,Analytics /// Canvas analytics,2024-02-16T02:09:58Z,119220,2024-08-28T14:53:03Z,3344,10,1355,LOW
cypress/e2e/decide/selectionTests.cy.js,Multi selection and copy/cut paste tests /// Cut and paste a split node v2,2024-02-07T16:45:57Z,123895,2024-05-29T08:55:15Z,66362,14,1956,LOW
cypress/e2e/decide/authoring/versionCrudAndBaseNodes.cy.js,Version crud and nodes /// should be possible to CRUD flow comments,2024-02-02T15:06:49Z,127109,2024-08-05T14:56:46Z,24239,9,1287,LOW
cypress/e2e/decide/authoring/changeHistoryRevisions.cy.js,Change history and revisions /// Preview revision graph tests,2024-02-26T14:20:58Z,114851,2024-08-29T15:35:20Z,2239,9,1306,LOW
cypress/e2e/decide/authoring/webhooksAndDecisionHistory.cy.js,Outgoing webhooks and decision history. Checking history records /// Check live successful webhook logs and delete webhook,2024-01-19T09:15:02Z,55607,2024-04-19T10:53:48Z,8562,4,583,LOW
cypress/e2e/decide/authoring.cy.js,"Outgoing webhooks and decision history. Setup and Invocation /// Setup, test invoke and invoke webhooks",2024-01-05T11:40:54Z,2932,2024-01-15T14:24:18Z,494,3,493,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// Inspect aux data in intermediate results,2023-09-12T13:03:17Z,9666,2023-11-10T12:53:56Z,7384,5,867,LOW
cypress/e2e/decide/autocomplete.cy.js,Test autocompletion /// Autocompletion should work on no-code (rule) node,2024-02-14T13:21:13Z,30206,2024-04-04T08:38:07Z,6306,3,528,LOW
cypress/e2e/decide/authoring/webhooksAndDecisionHistory.cy.js,Setup webhooks and test decision history /// Invoke webhooks,2024-07-31T08:37:33Z,28271,2024-08-27T13:24:36Z,6137,4,717,LOW
cypress/e2e/decide/authoring/versionCrudAndBaseNodes.cy.js,Version crud and nodes /// Add a rule node v2,2024-02-23T11:09:29Z,115967,2024-06-06T16:58:39Z,61218,7,1287,LOW
cypress/e2e/decide/authoring/ml_DecTabel_Flow_Node.cy.js,Version crud and nodes /// Decision Table Node,2024-02-29T14:45:43Z,111878,2024-08-20T11:27:53Z,12662,7,1295,LOW
cypress/e2e/decide/authoring/paramsAndSchema.cy.js,Parameters /// Should be possible to add global params,2024-02-08T10:18:13Z,123575,2024-06-18T09:16:54Z,54822,7,1310,LOW
cypress/e2e/decide/authoring/webhooksAndDecisionHistory.cy.js,Outgoing webhooks and decision history. Checking history records /// Should be possible to access the decision history,2024-01-16T22:26:28Z,57538,2024-02-23T11:09:06Z,38232,3,608,LOW
cypress/e2e/decide/authoring/paramsAndSchema.cy.js,Parameters /// Set a schema,2024-03-04T11:12:37Z,55874,2024-03-28T11:22:05Z,44422,4,839,LOW
cypress/e2e/decide/selectionTests.cy.js,Selected node should be synced to the URL /// Selected node should be synced to the URL,2024-04-30T09:59:24Z,78873,2024-08-21T10:16:09Z,11493,8,1956,LOW
cypress/e2e/decide/datasets.cy.js,Datasets /// refreshes token before testing a flow,2023-11-10T08:57:21Z,142683,2024-08-22T13:06:59Z,9677,7,1730,LOW
cypress/e2e/decide/authoring/testRunResults.cy.js,test run results /// Throws compile errors,2024-02-23T11:09:03Z,115979,2024-06-07T13:21:35Z,60867,5,1315,LOW
cypress/e2e/decide/codeInput.cy.js,Test autocompletion /// If there is no completion data information should be shown to the user,2024-04-16T08:43:05Z,89476,2024-06-12T16:32:19Z,57773,3,819,LOW
cypress/e2e/decide/authoring/testRunResults.cy.js,test run results /// Intermediate results table screenshot,2024-07-17T08:33:10Z,39817,2024-08-02T13:03:12Z,25755,2,551,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// Assignment node,2023-08-31T09:24:45Z,10093,2023-10-25T08:26:11Z,8208,3,867,LOW
cypress/e2e/decide/datasets.cy.js,Datasets /// Upload/delete dataset flow,2023-12-15T10:41:23Z,140335,2024-08-26T13:17:00Z,7532,6,2074,LOW
cypress/e2e/decide/authoring/webhooksAndDecisionHistory.cy.js,Outgoing webhooks checking log records /// Check live successful webhook logs and delete webhook,2024-05-13T10:36:45Z,73155,2024-06-13T16:54:57Z,56777,2,717,LOW
cypress/e2e/decide/codeInput.cy.js,"Expandable Inputs /// Base, prefixed and with children",2024-07-10T15:11:09Z,43816,2024-08-26T06:51:16Z,8437,2,819,LOW
cypress/e2e/decide/codeInput.cy.js,Test autocompletion /// Autocompletion should work on no-code (rule) node,2024-04-22T18:48:59Z,84469,2024-04-24T15:04:33Z,82582,2,819,LOW
