id,name,date,value
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T10:00Z,41003
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T11:00Z,42644
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T12:00Z,45352
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T13:00Z,46450
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T14:00Z,47401
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T15:00Z,50045
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T16:00Z,53043
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T17:00Z,56186
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T18:00Z,58967
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T19:00Z,61414
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T20:00Z,63206
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T21:00Z,64066
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T22:00Z,64710
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-09-30T23:00Z,64374
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01,62427
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T01:00Z,60955
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T02:00Z,59386
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T03:00Z,56584
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T04:00Z,52864
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T05:00Z,48800
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T06:00Z,45849
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T07:00Z,43835
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T08:00Z,42392
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T09:00Z,41608
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T10:00Z,41567
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T11:00Z,42884
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T12:00Z,45258
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T13:00Z,45746
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T14:00Z,46519
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T15:00Z,49135
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T16:00Z,52318
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T17:00Z,55324
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T18:00Z,58253
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T19:00Z,61056
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T20:00Z,63111
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T21:00Z,64362
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T22:00Z,64667
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-01T23:00Z,63740
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02,61499
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T01:00Z,59659
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T02:00Z,58192
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T03:00Z,55274
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T04:00Z,51455
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T05:00Z,47490
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T06:00Z,44487
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T07:00Z,42386
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T08:00Z,40863
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T09:00Z,39922
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T10:00Z,39876
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T11:00Z,41305
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T12:00Z,43929
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T13:00Z,44522
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T14:00Z,45280
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T15:00Z,47920
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T16:00Z,51473
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T17:00Z,54918
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T18:00Z,58088
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T19:00Z,61099
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T20:00Z,63262
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T21:00Z,64593
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T22:00Z,65060
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-02T23:00Z,64280
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03,62186
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T01:00Z,60114
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T02:00Z,58150
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T03:00Z,55005
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T04:00Z,50974
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T05:00Z,46918
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T06:00Z,43812
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T07:00Z,41602
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T08:00Z,40110
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T09:00Z,39250
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T10:00Z,39218
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T11:00Z,40626
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T12:00Z,43236
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T13:00Z,43814
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T14:00Z,44711
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T15:00Z,47724
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T16:00Z,51258
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T17:00Z,54860
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T18:00Z,58067
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T19:00Z,60899
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T20:00Z,62902
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T21:00Z,64078
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T22:00Z,64116
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-03T23:00Z,62756
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04,60455
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T01:00Z,58586
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T02:00Z,56690
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T03:00Z,53918
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T04:00Z,49964
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T05:00Z,45987
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T06:00Z,42742
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T07:00Z,40449
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T08:00Z,38787
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T09:00Z,37773
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T10:00Z,37725
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T11:00Z,39145
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T12:00Z,41701
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T13:00Z,42516
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T14:00Z,43228
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T15:00Z,45483
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T16:00Z,48449
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T17:00Z,51529
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T18:00Z,54686
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T19:00Z,57875
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T20:00Z,60272
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T21:00Z,61903
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T22:00Z,62642
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-04T23:00Z,61574
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-05,58723
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-05T01:00Z,56237
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-05T02:00Z,54195
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-05T03:00Z,51567
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-05T04:00Z,48582
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-05T05:00Z,45352
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-05T06:00Z,42391
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-05T07:00Z,40161
EBA.TEX-ALL.D.H,"Demand for Texas (region), hourly - UTC time",2019-10-05T08:00Z,38457
