@timestamp,integration_latency
2025-12-04 18:02:07.232,898
2025-12-04 18:01:28.541,11501
2025-12-04 18:01:27.235,8943
2025-12-04 18:00:51.084,2229
2025-12-04 18:00:50.492,2074
2025-12-04 17:59:57.014,2305
2025-12-04 17:59:56.595,2024
2025-12-04 17:59:33.299,1748
2025-12-04 17:59:31.701,5761
2025-12-04 17:59:28.826,3602
2025-12-04 17:59:28.222,4436
2025-12-04 17:55:46.051,1715
2025-12-04 17:55:45.113,1890
2025-12-04 17:55:25.399,10227
2025-12-04 17:55:24.280,4549
2025-12-04 17:55:20.845,6429
2025-12-04 17:55:20.367,6467
2025-12-04 17:55:12.409,2027
2025-12-04 17:55:11.954,1866
2025-12-04 17:54:30.446,2274
2025-12-04 17:54:30.164,2108
2025-12-04 17:54:05.775,5750
2025-12-04 17:54:05.546,8767
2025-12-04 17:53:34.116,3773
2025-12-04 17:53:33.681,4324
2025-12-04 17:52:01.916,1962
2025-12-04 17:52:01.487,2538
2025-12-04 17:51:02.221,5321
2025-12-04 17:51:01.048,8894
2025-12-04 17:51:00.808,4269
2025-12-04 17:51:00.802,4294
2025-12-04 17:49:49.038,1701
2025-12-04 17:49:48.924,2011
2025-12-04 17:49:14.205,6914
2025-12-04 17:49:13.806,6327
2025-12-04 17:48:33.104,4357
2025-12-04 17:48:29.623,4734
2025-12-04 17:47:42.312,3544
2025-12-04 17:47:40.682,2890
2025-12-04 17:45:58.915,2172
2025-12-04 17:45:57.621,2159
2025-12-04 17:45:52.312,1600
2025-12-04 17:45:51.010,2020
2025-12-04 17:45:47.759,1622
2025-12-04 17:45:45.312,1933
2025-12-04 17:45:35.681,2575
2025-12-04 17:45:33.885,2161
2025-12-04 17:44:37.146,2104
2025-12-04 17:44:36.523,1958
2025-12-04 17:43:10.812,5989
2025-12-04 17:43:10.486,1810
2025-12-04 17:42:08.156,1251
2025-12-04 17:41:08.909,4596
2025-12-04 17:41:06.033,4265
2025-12-04 17:40:13.902,722
2025-12-04 17:39:42.417,1726
2025-12-04 17:39:41.450,2268
2025-12-04 17:38:49.297,1020
2025-12-04 17:38:48.019,1409
2025-12-04 17:38:07.295,1368
2025-12-04 17:37:59.248,2376
2025-12-04 17:37:57.538,2571
2025-12-04 17:37:45.994,7795
2025-12-04 17:37:43.998,6317
2025-12-04 17:37:43.156,1008
2025-12-04 17:37:40.474,1409
2025-12-04 17:35:22.145,1764
2025-12-04 17:35:21.664,1596
2025-12-04 17:34:52.723,2530
2025-12-04 17:34:52.511,1695
2025-12-04 17:34:22.327,1283
2025-12-04 17:34:01.763,2218
2025-12-04 17:33:58.328,2497
2025-12-04 17:32:36.502,1537
2025-12-04 17:32:07.182,3874
2025-12-04 17:32:03.991,11726
2025-12-04 17:32:02.401,2364
2025-12-04 17:32:02.281,2524
2025-12-04 17:31:34.386,2348
2025-12-04 17:31:34.153,2882
2025-12-04 17:29:02.539,4232
2025-12-04 17:29:01.353,4616
2025-12-04 17:26:32.974,1711
2025-12-04 17:26:31.865,1897
2025-12-04 17:25:48.674,1398
2025-12-04 17:25:19.326,7722
2025-12-04 17:25:16.543,7857
2025-12-04 17:25:08.567,1034
2025-12-04 17:25:03.311,1517
2025-12-04 17:23:15.996,2146
2025-12-04 17:23:14.883,1890
2025-12-04 17:22:51.598,2330
2025-12-04 17:22:49.813,2040
2025-12-04 17:17:14.969,2979
2025-12-04 17:17:14.547,2990
2025-12-04 17:15:50.600,1749
2025-12-04 17:15:50.262,1658
2025-12-04 17:15:45.450,4057
2025-12-04 17:15:44.552,3675
2025-12-04 17:14:25.543,1853
2025-12-04 17:14:25.357,2244
2025-12-04 17:14:18.445,6680
2025-12-04 17:14:17.091,6854
2025-12-04 17:13:09.281,1891
2025-12-04 17:13:08.719,1616
2025-12-04 17:12:57.962,8396
2025-12-04 17:12:55.089,1860
2025-12-04 17:12:53.773,2126
2025-12-04 17:12:20.345,367
2025-12-04 17:12:10.667,1243
2025-12-04 17:11:57.851,2488
2025-12-04 17:11:57.851,2279
2025-12-04 17:11:11.878,6574
2025-12-04 17:11:11.816,7743
2025-12-04 17:10:19.961,1400
2025-12-04 17:09:10.660,2260
2025-12-04 17:09:09.900,2167
2025-12-04 17:08:42.734,2287
2025-12-04 17:08:42.419,1816
2025-12-04 17:08:30.249,4559
2025-12-04 17:08:30.020,3838
2025-12-04 17:08:09.439,2292
2025-12-04 17:08:09.287,2961
2025-12-04 17:07:53.496,4244
2025-12-04 17:07:53.288,4281
2025-12-04 17:04:48.739,3158
2025-12-04 17:04:47.876,3314
2025-12-04 17:04:42.418,3600
2025-12-04 17:04:40.185,3509
2025-12-04 17:04:27.291,3096
2025-12-04 17:04:24.761,3581
2025-12-04 17:03:32.709,1204
2025-12-04 17:02:59.070,7842
2025-12-04 17:02:56.170,10134
2025-12-04 17:02:45.631,5842
2025-12-04 17:02:42.185,12476
2025-12-04 17:02:41.532,8951
2025-12-04 17:02:39.311,8904
2025-12-04 17:02:35.412,2434
2025-12-04 17:02:34.794,2175
2025-12-04 17:02:10.958,1019
2025-12-04 17:02:07.096,823
2025-12-04 17:02:03.869,2151
2025-12-04 17:02:03.604,2675
2025-12-04 17:01:27.948,2099
2025-12-04 17:01:27.356,1890
2025-12-04 16:59:51.653,2185
2025-12-04 16:59:50.448,2116
2025-12-04 16:57:52.933,2255
2025-12-04 16:57:51.916,3582
2025-12-04 16:55:18.384,2941
2025-12-04 16:55:18.333,2807
2025-12-04 16:51:48.640,1892
2025-12-04 16:51:47.372,2167
2025-12-04 16:51:03.509,2544
2025-12-04 16:51:02.967,2264
2025-12-04 16:50:55.441,3871
2025-12-04 16:50:51.127,4025
2025-12-04 16:50:34.757,5375
2025-12-04 16:50:28.007,4646
2025-12-04 16:48:31.019,2247
2025-12-04 16:48:31.016,1925
2025-12-04 16:48:18.786,2826
2025-12-04 16:48:17.669,5732
2025-12-04 16:48:15.866,6051
2025-12-04 16:48:15.788,7092
2025-12-04 16:48:12.986,6775
2025-12-04 16:46:39.956,2215
2025-12-04 16:46:39.916,2199
2025-12-04 16:46:22.433,2260
2025-12-04 16:46:21.847,2455
2025-12-04 16:46:09.529,1952
2025-12-04 16:46:08.364,2258
2025-12-04 16:45:06.550,3220
2025-12-04 16:45:04.625,3907
2025-12-04 16:44:49.216,1266
2025-12-04 16:44:47.560,1655
2025-12-04 16:44:46.404,1751
2025-12-04 16:44:02.624,2649
2025-12-04 16:44:02.463,1895
2025-12-04 16:43:04.063,7152
2025-12-04 16:43:01.212,5665
2025-12-04 16:42:43.979,6020
2025-12-04 16:42:38.600,4935
2025-12-04 16:41:31.640,1980
2025-12-04 16:41:31.346,2285
2025-12-04 16:41:27.151,3044
2025-12-04 16:41:26.964,3945
2025-12-04 16:40:49.431,4131
2025-12-04 16:40:49.335,4567
2025-12-04 16:40:35.873,8286
2025-12-04 16:40:34.999,7828
2025-12-04 16:40:21.903,8093
2025-12-04 16:40:21.321,7050
2025-12-04 16:40:08.369,7663
2025-12-04 16:40:03.461,4154
2025-12-04 16:39:56.632,1403
2025-12-04 16:39:51.791,1436
2025-12-04 16:39:13.081,6282
2025-12-04 16:39:05.110,3215
2025-12-04 16:39:04.704,2985
2025-12-04 16:38:57.913,4161
2025-12-04 16:38:57.908,4395
2025-12-04 16:36:30.101,1552
2025-12-04 16:34:47.081,7549
2025-12-04 16:34:46.743,8347
2025-12-04 16:33:23.533,2049
2025-12-04 16:33:22.727,2061
2025-12-04 16:33:05.272,2561
2025-12-04 16:33:05.075,2779
2025-12-04 16:32:05.899,5734
2025-12-04 16:32:02.073,6666
2025-12-04 16:31:53.144,3034
2025-12-04 16:31:51.545,2559
2025-12-04 16:29:32.032,1298
2025-12-04 16:28:57.379,8979
2025-12-04 16:28:56.506,9636
2025-12-04 16:28:48.099,8415
2025-12-04 16:28:40.899,4739
2025-12-04 16:28:33.858,4739
2025-12-04 16:27:57.443,2033
2025-12-04 16:27:56.883,1890
2025-12-04 16:27:46.908,3659
2025-12-04 16:27:46.688,3706
2025-12-04 16:27:18.651,8178
2025-12-04 16:27:16.108,7730
2025-12-04 16:26:30.797,3158
2025-12-04 16:26:30.198,3265
2025-12-04 16:26:05.212,2190
2025-12-04 16:26:04.555,2190
2025-12-04 16:25:57.955,1672
2025-12-04 16:25:54.780,9038
2025-12-04 16:25:54.231,4359
2025-12-04 16:25:28.621,1948
2025-12-04 16:25:27.827,2126
2025-12-04 16:24:13.406,3481
2025-12-04 16:24:13.191,3087
2025-12-04 16:23:40.747,1683
2025-12-04 16:23:39.887,2081
2025-12-04 16:23:23.092,2575
2025-12-04 16:23:23.084,2942
2025-12-04 16:21:39.677,6070
2025-12-04 16:21:36.896,6114
2025-12-04 16:21:20.318,7459
2025-12-04 16:21:19.042,8550
2025-12-04 16:20:08.412,3455
2025-12-04 16:20:08.001,3107
2025-12-04 16:19:34.735,3931
2025-12-04 16:19:34.515,3493
